country,industry,year,VALU,LABR,GFCF,EMPN,ln_prod,capform,pair_id,green_patents,GTI,ln_GTI,GTI_lag2,ln_GTI_lag2,broadband,gdppc_raw,renew,rd,tertiary,trade,ln_gdppc,AIIE,HighAI,GTI_x_HA,ln_GTI_x_HA,HighCapital,HighCapital_indspec,ln_GTI_x_HC,HighTrade,HighRD,ln_GTI_x_HT,ln_GTI_x_HR,base_GTI,excl_pat,GTI_bartik
AUS,C,2010,103164,60996,19345,1061.906,4.576254548319055,0.18751696328176495,AUS_C,141.061111111105,1367.3482136317416,7.22135960792061,NA,NA,24.8853051640712,53768.34973344104,8.2,2.3702,119.679389953613,40.39050708606058,10.89244027811907,-0.4842254202898551,0,0,0,1,0,7.22135960792061,0,1,0,7.22135960792061,1367.3482136317416,14572.753968253635,69.23101219995047
AUS,C,2011,104030,63812,21023,1025.506,4.619493169765136,0.2020859367490147,AUS_C,154.477777777763,1484.934901256974,7.303799416281075,NA,NA,24.697756094089,54296.23213248142,8.3,2.23459,119.679389953613,41.721986014968905,10.902210113689053,-0.4842254202898551,0,0,0,1,0,7.303799416281075,0,1,0,7.303799416281075,1367.3482136317416,15577.91746031717,69.71265029549444
AUS,C,2012,99952,62814,16701,1035.548,4.56975931555389,0.16709020329758284,AUS_C,107.11666666666301,1071.6810735819495,6.977916469728098,1367.3482136317416,7.22135960792061,25.0955644344698,55465.44628725772,8.3,2.20596,119.679389953613,43.019849552755815,10.923515516426473,-0.4842254202898551,0,0,0,1,0,6.977916469728098,0,1,0,6.977916469728098,1367.3482136317416,16432.554761904532,70.09831936302379
AUS,C,2013,100186,62637,16067,992.776,4.614278677767175,0.16037170862196315,AUS_C,137.49999999999602,1372.44724811846,7.225079097894568,1484.934901256974,7.303799416281075,25.7399315811014,55966.15092705607,9.2,2.17733,119.679389953613,41.10051188105599,10.932502339233968,-0.4842254202898551,0,0,0,0,0,0,0,1,0,7.225079097894568,1367.3482136317416,15473.733333333133,69.66419519601595
AUS,C,2014,100487,62280,14762,1003.298,4.606735792372714,0.1469045747211082,AUS_C,114.83333333332502,1142.7680529155514,7.042083400435047,1071.6810735819495,6.977916469728098,27.7000785019208,56571.80625244372,9.3,2.04851,119.679389953613,42.2993095385282,10.94326601733858,-0.4842254202898551,0,0,0,0,0,0,0,0,0,0,1367.3482136317416,16299.597619047421,70.0396566788736
AUS,C,2015,98806,61948,14393,970.345,4.623261932272079,0.14566929133858267,AUS_C,160.24999999999102,1621.865068922849,7.3919484272272635,1372.44724811846,7.225079097894568,28.5117731324726,56970.36130280944,9.4,1.91969,119.679389953613,41.49475069399008,10.950286434437997,-0.4842254202898551,0,0,0,0,0,0,0,0,0,0,1367.3482136317416,16133.247619047403,69.96558302784227
AUS,C,2016,99477,61752,15232,979.313,4.620830435220421,0.1531208218985293,AUS_C,157.41666666666,1582.4428427340995,7.367356769800932,1142.7680529155514,7.042083400435047,30.3083074972206,57632.99959255945,9.6,1.9003549999999998,119.682777404785,40.81340221732101,10.961850592226982,-0.4842254202898551,0,0,0,0,0,0,0,0,0,0,1367.3482136317416,17270.64166666646,70.4575146994693
AUS,C,2017,103175,63508,16647,955.328,4.682127117610008,0.1613472255875939,AUS_C,151.183333333331,1465.309748808636,7.290504148538055,1621.865068922849,7.3919484272272635,32.0326223266488,57991.77134733296,9.9,1.88102,109.993309020996,42.0354135251854,10.96805640614174,-0.4842254202898551,0,0,0,1,0,7.290504148538055,0,0,0,0,1367.3482136317416,17096.07999999986,70.38415826678846
AUS,C,2018,106591,65844,16662,994.161,4.674855194010763,0.15631713746939235,AUS_C,205.349999999996,1926.522877165952,7.5639909741950415,1582.4428427340995,7.367356769800932,33.5486251312018,58772.7063152213,9.8,1.8546399999999998,103.322090148926,43.57322536452184,10.981432847810053,-0.4842254202898551,0,0,0,0,0,0,0,0,0,0,1367.3482136317416,16297.421428571239,70.03869253611799
AUS,C,2019,109491,67204,17153,959.861,4.736809150768051,0.15666127809591657,AUS_C,161.666666666663,1476.5292733344568,7.2981265618315,1465.309748808636,7.290504148538055,34.5434163723691,59181.29979041315,10.3,1.82826,109.759559631348,46.00168270521715,10.988360889052197,-0.4842254202898551,0,0,0,0,0,0,0,0,0,0,1367.3482136317416,16314.699999999664,70.04634411672198
AUS,C,2020,113547,68089,18413,931.505,4.803170569391663,0.16216192413714145,AUS_C,224.66666666666302,1978.6226555229377,7.590661527507565,1926.522877165952,7.5639909741950415,35.346849265518,58377.767051780225,11.2,1.843045,110.139221191406,44.499564103879024,10.974690395163085,-0.4842254202898551,0,0,0,1,0,7.590661527507565,0,0,0,0,1367.3482136317416,15830.633333333133,69.82885275169056
AUS,C,2021,123593,71933,19903,976.288,4.840991563245553,0.16103662828800983,AUS_C,143.849999999999,1163.9008681721375,7.060391270681561,1476.5292733344568,7.2981265618315,35.8359861455454,59465.53567136402,12.3,1.85783,112.688293457031,40.20223593905949,10.99315219129977,-0.4842254202898551,0,0,0,1,0,7.060391270681561,0,0,0,0,1367.3482136317416,10652.483333333194,66.96830513793459
AUS,C,2022,135792,77896,24233,931.317,4.982279868794976,0.1784567573936609,AUS_C,50.33333333333,370.66493853341876,5.917992745529431,1978.6226555229377,7.590661527507565,36.3933201898066,61200.45889647808,12.3,1.85783,106.240760803223,45.69464188057522,11.02190996678077,-0.4842254202898551,0,0,0,1,0,5.917992745529431,0,0,0,0,1367.3482136317416,6490.683333333259,63.391096034254666
AUS,D_E,2010,36631,11221,27473,140.984,5.560003746665453,0.7499931751794928,AUS_D_E,383.23333333331794,10461.994849535036,9.255600011125841,NA,NA,24.8853051640712,53768.34973344104,8.2,2.3702,119.679389953613,40.39050708606058,10.89244027811907,-0.4190017,0,0,0,1,1,9.255600011125841,0,1,0,9.255600011125841,10461.994849535036,72321.18333333239,103.55985509380963
AUS,D_E,2011,41333,11871,25600,147.999,5.6322109743858855,0.6193598335470447,AUS_D_E,358.24999999997794,8667.408608133403,9.067440501385235,NA,NA,24.697756094089,54296.23213248142,8.3,2.23459,119.679389953613,41.721986014968905,10.902210113689053,-0.4190017,0,0,0,1,1,9.067440501385235,0,1,0,9.067440501385235,10461.994849535036,76652.20936507842,104.0981660596903
AUS,D_E,2012,46424,12224,24881,149.327,5.739433313737214,0.5359512321213166,AUS_D_E,346.616666666654,7466.324889424737,8.918292100123283,10461.994849535036,9.255600011125841,25.0955644344698,55465.44628725772,8.3,2.20596,119.679389953613,43.019849552755815,10.923515516426473,-0.4190017,0,0,0,1,1,8.918292100123283,0,1,0,8.918292100123283,10461.994849535036,75998.90714285635,104.01894408099801
